Registro,Region_residencia,Edad,género,Sector,Estado_Asistencia,Es_Organizador,"Áreas de experiencia ECLP: Durante el evento realizaremos un ""Café Temático"" para debatir insumos sobre el borrador de la ECLP. Por favor, ordene las siguientes temáticas de mayor a menor según su área de experiencia (siendo 1 su área de mayor experiencia): [1. Mitigación y Neutralidad de Emisiones de Gases de Efecto Invernadero (GEI)]","Áreas de experiencia ECLP: Durante el evento realizaremos un ""Café Temático"" para debatir insumos sobre el borrador de la ECLP. Por favor, ordene las siguientes temáticas de mayor a menor según su área de experiencia (siendo 1 su área de mayor experiencia): [2. Absorciones y Sumideros de Carbono]","Áreas de experiencia ECLP: Durante el evento realizaremos un ""Café Temático"" para debatir insumos sobre el borrador de la ECLP. Por favor, ordene las siguientes temáticas de mayor a menor según su área de experiencia (siendo 1 su área de mayor experiencia): [3. Vulnerabilidad, Impactos y Riesgos Climáticos]","Áreas de experiencia ECLP: Durante el evento realizaremos un ""Café Temático"" para debatir insumos sobre el borrador de la ECLP. Por favor, ordene las siguientes temáticas de mayor a menor según su área de experiencia (siendo 1 su área de mayor experiencia): [4. Adaptación y Resiliencia Climática]","Áreas de experiencia ECLP: Durante el evento realizaremos un ""Café Temático"" para debatir insumos sobre el borrador de la ECLP. Por favor, ordene las siguientes temáticas de mayor a menor según su área de experiencia (siendo 1 su área de mayor experiencia): [5. Soluciones basadas en la Naturaleza (SbN) y Funciones Ecosistémicas]","Áreas de experiencia ECLP: Durante el evento realizaremos un ""Café Temático"" para debatir insumos sobre el borrador de la ECLP. Por favor, ordene las siguientes temáticas de mayor a menor según su área de experiencia (siendo 1 su área de mayor experiencia): [6. Sistemas de Monitoreo, Reporte y Verificación (MRV)]","Áreas de experiencia ECLP: Durante el evento realizaremos un ""Café Temático"" para debatir insumos sobre el borrador de la ECLP. Por favor, ordene las siguientes temáticas de mayor a menor según su área de experiencia (siendo 1 su área de mayor experiencia): [7. Desarrollo y Transferencia de Tecnología Climática y generación de capacidades]","Áreas de experiencia ECLP: Durante el evento realizaremos un ""Café Temático"" para debatir insumos sobre el borrador de la ECLP. Por favor, ordene las siguientes temáticas de mayor a menor según su área de experiencia (siendo 1 su área de mayor experiencia): [8. Instrumentos de Precio y Mercado de Carbono]","Áreas de experiencia ECLP: Durante el evento realizaremos un ""Café Temático"" para debatir insumos sobre el borrador de la ECLP. Por favor, ordene las siguientes temáticas de mayor a menor según su área de experiencia (siendo 1 su área de mayor experiencia): [9. Institucionalidad y Gobernanza Climática]"
REG-001-ABME,Metropolitana de Santiago,,,,No Asistió,False,,,Segunda preferencia para participar,Temática de interés secundario,Primera preferencia para participar,,,,
REG-002-ADME,Metropolitana de Santiago,43.0,Femenino,Privado,Asistió,False,,,,Primera preferencia para participar,Segunda preferencia para participar,,,,
REG-003-ADME,Metropolitana de Santiago,60.0,Femenino,Público,Asistió,False,,Temática de interés secundario,,Primera preferencia para participar,,,Segunda preferencia para participar,,
REG-004-ALME,Metropolitana de Santiago,,Masculino,Academia,Asistió,False,,Segunda preferencia para participar,,Temática de interés secundario,Primera preferencia para participar,,,,
REG-005-ALVA,Valparaíso,,,,No Asistió,False,,,Primera preferencia para participar,Segunda preferencia para participar,,,,,Temática de interés secundario
REG-006-ALME,Metropolitana de Santiago,,,,No Asistió,False,,,Segunda preferencia para participar,Temática de interés secundario,Primera preferencia para participar,,,,
REG-007-ALME,Metropolitana de Santiago,,Femenino,Público,Asistió,False,,,Primera preferencia para participar,Segunda preferencia para participar,Temática de interés secundario,,,,
REG-008-ALBI,Biobío,47.0,Masculino,Academia,Asistió,False,,,Temática de interés secundario,Segunda preferencia para participar,,,,,Primera preferencia para participar
REG-009-ALO',O'Higgins,41.0,Masculino,Academia,Asistió,False,,Temática de interés secundario,,Segunda preferencia para participar,Primera preferencia para participar,,,,
REG-010-ALVA,Valparaíso,53.0,Masculino,Público,Asistió,False,,,Primera preferencia para participar,,,,,,
REG-011-ALME,Metropolitana de Santiago,,Masculino,Academia,Asistió,True,Temática de interés secundario,,Primera preferencia para participar,Segunda preferencia para participar,,,,,
REG-012-ALME,Metropolitana de Santiago,27.0,Masculino,Academia,Asistió,False,,Segunda preferencia para participar,,Temática de interés secundario,Primera preferencia para participar,,,,
REG-013-ALVA,Valparaíso,37.0,Masculino,Público,Asistió,False,,,Segunda preferencia para participar,Primera preferencia para participar,,Temática de interés secundario,,,
REG-014-ALME,Metropolitana de Santiago,35.0,Masculino,Sociedad civil,Asistió,False,Primera preferencia para participar,Temática de interés secundario,Segunda preferencia para participar,,,,,,
REG-015-AMBI,Biobío,,Femenino,Academia,Asistió,True,,,Segunda preferencia para participar,,Primera preferencia para participar,,,,Temática de interés secundario
REG-016-AMME,Metropolitana de Santiago,,,,No Asistió,False,,Segunda preferencia para participar,,,Primera preferencia para participar,,,,
REG-017-ANME,Metropolitana de Santiago,,,,No Asistió,False,,,Primera preferencia para participar,Segunda preferencia para participar,,,,,Temática de interés secundario
